full_name,default_branch,stars,forks,created_at,size,open_issues_count
alibaba/jetcache,master,4365,992,2017-04-12T07:48:23Z,3524,332
brianway/springmvc-mybatis-learning,master,2915,1180,2016-03-10T07:29:31Z,17888,10
lettuce-io/lettuce-core,main,5106,924,2014-05-10T13:08:46Z,21393,109
apache/parquet-mr,master,2167,1332,2014-06-10T07:00:07Z,18423,134
ltsopensource/light-task-scheduler,master,2988,1158,2014-10-24T12:53:14Z,99960,131
GitLqr/LQRWeChat,master,3371,1098,2017-02-07T06:32:40Z,120743,25
prontera/spring-cloud-rest-tcc,master,2583,1231,2015-12-04T06:20:38Z,7004,1
hellokoding/hellokoding-courses,master,682,2184,2019-02-19T05:13:23Z,9709,26
javagrowing/JGrowing,master,4511,958,2019-02-26T01:55:08Z,2987,22
apache/linkis,master,3137,1104,2019-07-23T06:41:51Z,88288,229
sofastack/sofa-jraft,master,3313,1077,2019-03-04T10:13:43Z,3471,55
chewiebug/GCViewer,develop,4292,960,2011-10-23T09:01:04Z,6744,80
lilishop/lilishop,master,3678,1025,2021-05-14T01:28:51Z,48538,3
prometheus/jmx_exporter,main,2744,1159,2014-02-25T10:55:39Z,1665,68
claritylab/lucida,master,4813,903,2014-05-13T17:12:49Z,1352332,75
google/google-java-format,master,5145,877,2015-05-11T20:38:28Z,1967,121
quarkusio/quarkus-quickstarts,main,1797,1375,2018-12-03T08:25:11Z,13018,168
guoguibing/librec,3.0.0,3190,1070,2014-01-09T16:06:11Z,87642,81
forezp/SpringBootLearning,master,2250,1243,2017-04-21T15:57:41Z,296,15
jitsi/jitsi,master,3953,970,2013-04-24T17:37:20Z,579494,216
zendesk/maxwell,master,3783,987,2015-02-09T22:06:13Z,24476,210
jenkinsci/kubernetes-plugin,master,2206,1241,2015-02-16T09:02:22Z,7296,27
ysc/QuestionAnsweringSystem,master,1923,1316,2014-07-28T20:27:58Z,19118,4
BruceEckel/OnJava8-Examples,master,2887,1097,2015-04-20T22:34:50Z,10935,16
osmandapp/OsmAnd,master,3926,958,2011-01-15T19:59:44Z,815241,2667
cglib/cglib,master,4670,888,2014-03-29T13:48:30Z,4949,92
google/error-prone,master,6569,762,2014-08-21T23:26:50Z,124622,363
jeecgboot/jeecg,master,2116,1244,2013-01-01T05:35:43Z,221172,45
jankotek/mapdb,master,4750,875,2012-08-17T15:28:54Z,10219,175
orientechnologies/orientdb,develop,4638,882,2012-12-09T20:33:47Z,253370,272
MarkerHub/vueblog,master,2759,1102,2020-05-14T01:53:49Z,975,35
apache/iotdb,master,4035,934,2018-11-24T21:29:17Z,220535,376
Nightonke/CoCoin,master,2809,1091,2015-10-17T13:50:12Z,73657,48
javastacks/spring-boot-best-practice,master,3393,1002,2018-11-09T06:23:18Z,230,0
pig-mesh/pig,jdk17,5095,839,2019-08-26T03:24:53Z,36950,275
spring-cloud/spring-cloud-kubernetes,main,3360,1004,2016-12-13T21:36:25Z,55968,48
micrometer-metrics/micrometer,main,4117,911,2017-04-10T21:36:51Z,32253,422
RichardWarburton/java-8-lambdas-exercises,master,1804,1300,2014-02-09T23:40:54Z,391,7
lzyzsd/CircleProgress,master,3783,940,2014-10-30T16:14:42Z,2538,84
TheoKanning/openai-java,main,3694,950,2020-09-15T02:58:52Z,486,78
spring-cloud/spring-cloud-config,main,1903,1263,2014-06-13T16:59:44Z,39207,182
codingXiaxw/seckill,master,2192,1186,2016-11-28T13:56:39Z,21544,40
luxiaoxun/NettyRpc,master,2271,1157,2016-03-13T05:24:45Z,231,5
undertow-io/undertow,master,3436,964,2012-07-19T00:52:44Z,26463,64
IoT-Technology/IoT-Technical-Guide,master,3584,946,2019-04-02T01:52:44Z,1361,13
querydsl/querydsl,master,4396,861,2011-08-05T06:46:32Z,51647,127
docker-java/docker-java,main,2652,1077,2014-06-02T18:47:31Z,7809,88
zhangxd1989/spring-boot-cloud,master,2111,1182,2017-04-28T12:08:27Z,1295,21
WinterChenS/my-site,master,3037,1009,2018-05-03T09:05:37Z,6340,4
rengwuxian/RxJavaSamples,2.x,3954,901,2016-03-24T13:08:10Z,4613,22
Red5/red5-server,master,3233,979,2013-11-19T05:04:10Z,104174,38
junit-team/junit5-samples,main,1477,1369,2015-11-13T21:28:16Z,1696,16
hapifhir/hapi-fhir,master,1771,1265,2014-06-24T21:00:46Z,964690,917
fossasia/susi_server,development,2468,1092,2016-09-14T20:21:09Z,253041,55
CoderLeixiaoshuai/java-eight-part,master,4252,862,2020-10-16T16:27:04Z,308,8
raphw/byte-buddy,master,5760,749,2013-11-25T19:38:03Z,1004313,74
line/armeria,main,4423,838,2015-11-16T04:04:01Z,184065,630
xubinux/xbin-store,master,2137,1147,2017-02-26T04:19:53Z,22036,28
Sayi/poi-tl,master,3559,918,2015-03-20T06:47:52Z,102229,77
coobird/thumbnailator,master,4809,803,2015-07-25T05:38:33Z,11686,45
eirslett/frontend-maven-plugin,master,4090,860,2013-08-30T14:44:38Z,1157,318
ZHENFENG13/My-Blog,master,3324,939,2019-03-04T09:17:00Z,30373,8
plutext/docx4j,VERSION_11_4_8,1946,1182,2012-05-11T22:13:30Z,156216,206
liyiorg/weixin-popular,2.8.x,2491,1061,2014-04-22T07:22:27Z,1603,35
a466350665/smart-sso,master,2006,1165,2016-07-11T09:06:38Z,28854,47
confluentinc/kafka-streams-examples,7.1.1-post,2205,1118,2017-08-18T22:07:36Z,22731,20
alidili/Demos,master,1827,1209,2017-06-20T02:10:12Z,62469,1
liferay/liferay-plugins,7.0.x,509,2102,2009-09-25T22:56:21Z,1841295,9
shekhargulati/99-problems,master,3305,930,2015-11-22T05:56:33Z,386,9
DiUS/java-faker,master,4326,826,2011-06-06T01:01:21Z,6147,216
huanzi-qch/base-admin,master,2298,1086,2019-09-17T07:46:16Z,3293,8
sarxos/webcam-capture,master,2164,1111,2012-05-25T20:26:28Z,23959,296
apache/incubator-kie-optaplanner,main,3156,942,2011-02-15T19:38:23Z,244703,18
Bukkit/Bukkit,master,2323,1070,2011-01-02T23:47:25Z,19858,70
LuckyZXL2016/Movie_Recommend,master,2517,1025,2018-04-18T15:42:28Z,57779,13
oshi/oshi,master,4141,826,2012-02-10T12:46:48Z,304246,6
DeemOpen/zkui,master,2309,1058,2014-05-22T06:15:53Z,493,58
VaughnVernon/IDDD_Samples,master,3531,878,2013-04-08T22:12:57Z,546,32
rememberber/WePush,master,3192,915,2017-06-23T09:03:36Z,45755,28
spring2go/staffjoy,master,1831,1162,2019-07-03T15:07:24Z,52659,50
aistrate/AlgorithmsSedgewick,master,2734,976,2011-12-10T15:54:55Z,1582,16
BroadleafCommerce/BroadleafCommerce,develop-6.2.x,1632,1222,2011-12-09T17:53:52Z,292756,41
ethereum/ethereumj,develop,2140,1084,2014-05-13T07:50:14Z,47979,92
benwang6/spring-cloud-repo,Hoxton,1581,1227,2019-05-12T13:02:18Z,150,6
mongodb/docs,master,721,1724,2011-09-23T20:57:35Z,135267,123
in28minutes/spring-master-class,master,1093,1438,2017-08-07T06:56:45Z,3435,34
zaiyunduan123/springboot-seckill,master,2535,992,2018-05-18T03:29:21Z,5040,18
baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,master,1793,1149,2016-11-25T10:12:46Z,26380,38
lingochamp/okdownload,master,5003,736,2017-12-17T08:21:22Z,8129,256
apache/incubator-streampark,dev,3438,865,2019-05-27T05:56:03Z,55700,377
WeBankFinTech/DataSphereStudio,master,2754,949,2019-11-24T13:27:19Z,264858,356
confluentinc/schema-registry,master,2029,1080,2014-12-09T22:38:11Z,93091,289
renrenio/renren-security,master,1997,1087,2016-12-27T14:59:36Z,4924,34
liuyangming/ByteTCC,master,2874,928,2016-02-12T11:51:14Z,1693,101
obsidiandynamics/kafdrop,master,4801,742,2019-05-27T08:46:56Z,2745,45
unofficial-openjdk/openjdk,defunct,2171,1044,2012-08-09T20:39:52Z,2386310,0
jcoleman/tomcat-redis-session-manager,master,1789,1129,2011-08-04T19:25:11Z,133,42
qunarcorp/bistoury,master,3861,807,2019-08-01T07:54:25Z,32465,76
kevinsawicki/http-request,master,3301,863,2011-10-21T19:54:58Z,1678,83
codeestX/GeekNews,master,3493,841,2016-08-07T14:56:56Z,83845,52
nutzam/nutz,master,2504,963,2011-06-10T01:25:43Z,44422,60
Fuzion24/JustTrustMe,master,4355,756,2014-07-24T23:45:05Z,432,21
Pay-Group/best-pay-sdk,develop,2848,907,2017-03-03T06:57:32Z,614,49
jishenghua/jshERP,master,2449,967,2016-09-20T04:51:39Z,64799,55
chengxy-nds/Springboot-Notebook,master,2416,968,2020-06-29T02:34:59Z,6809,7
googleapis/google-cloud-java,main,1772,1106,2014-11-04T17:57:16Z,674411,84
react-native-google-signin/google-signin,master,2864,897,2015-08-13T06:13:57Z,23087,22
kiegroup/jbpm,main,1525,1178,2010-09-22T13:19:52Z,336294,25
Baeldung/spring-security-registration,master,1549,1171,2016-03-02T09:10:48Z,29843,2
alibaba/yugong,master,2457,954,2016-03-02T07:31:00Z,2415,101
tianshiyeben/wgcloud,master,4048,765,2019-01-15T02:02:21Z,47802,36
spring-projects/spring-session,main,1807,1085,2014-06-20T21:16:58Z,23403,177
dongjunkun/DropDownMenu,master,3588,803,2015-06-23T07:43:56Z,14892,56
qq53182347/liugh-parent,master,2396,955,2018-05-12T17:01:23Z,52391,15
killme2008/aviatorscript,master,3959,766,2011-03-29T12:48:47Z,12764,56
oblac/jodd,master,4028,759,2012-09-07T20:26:48Z,42803,1
DingMouRen/LayoutManagerGroup,master,4955,691,2018-04-28T11:47:38Z,45683,41
lendylongli/qianghongbao,master,2109,1000,2015-02-20T03:24:57Z,26359,16
ronmamo/reflections,master,4568,712,2013-04-16T16:19:26Z,1064,118
alibaba/TProfiler,master,2377,943,2012-04-17T03:46:16Z,1289,21
yangzongzhuan/RuoYi-Vue,master,1836,1052,2019-11-07T02:18:40Z,3726,16
nacos-group/nacos-examples,master,883,1444,2018-09-21T15:52:49Z,1148,68
alibaba/Alink,master,3407,803,2018-09-30T06:36:11Z,17919,51
JetBrains/intellij-plugins,master,2006,1010,2012-08-17T14:31:20Z,414059,24
brianway/webporter,master,2721,884,2016-11-24T04:44:44Z,131,7
qos-ch/slf4j,master,2170,977,2009-08-20T16:25:49Z,12005,103
Marswin/MarsDaemon,master,3097,832,2015-12-25T03:21:41Z,1069,44
macrozheng/mall-tiny,master,1627,1100,2019-08-10T02:03:02Z,514,19
pytorch/serve,master,3669,771,2019-10-03T03:17:43Z,74412,336
hmkcode/Java,master,772,1509,2013-04-19T14:16:25Z,280,93
callicoder/spring-security-react-ant-design-polls-app,master,1690,1073,2018-02-28T05:01:35Z,3070,45
jboss-developer/jboss-eap-quickstarts,7.4.x,810,1473,2011-06-09T17:54:35Z,64492,12
spring-projects/spring-data-redis,main,1636,1084,2011-07-01T11:57:33Z,25793,128
killbill/killbill,master,4121,725,2012-10-21T20:55:05Z,680504,168
apache/fineract,develop,1015,1332,2015-12-22T08:00:06Z,71607,21
bz51/SpringBoot-Dubbo-Docker-Jenkins,master,2213,949,2018-01-18T01:38:08Z,457,33
Atmosphere/atmosphere,atmosphere-2.7.x,3645,763,2010-06-30T14:26:23Z,112954,47
geotools/geotools,main,1548,1106,2011-11-10T23:22:12Z,406833,22
Chora10/Cknife,master,2376,918,2016-02-18T02:58:01Z,9318,25
gouthampradhan/leetcode,master,3191,807,2017-03-09T10:30:30Z,876,8
SpringCloud/spring-cloud-code,master,1892,1011,2018-03-07T11:57:24Z,15497,30
douglascraigschmidt/POSA-14,master,579,1692,2014-04-12T19:22:54Z,6268,28
ongakuer/CircleIndicator,master,4202,714,2014-07-30T14:02:56Z,4407,28
xtuhcy/gecco,master,2468,898,2015-12-12T12:41:00Z,1007,7
CaffeineMC/sodium-fabric,dev,4235,710,2020-02-01T03:04:09Z,5601,106
egzosn/pay-java-parent,develop,2472,898,2016-05-18T12:52:36Z,11021,5
oracle/opengrok,master,3979,729,2013-01-07T11:49:18Z,407973,548
spring-projects/spring-data-book,master,1374,1155,2012-05-11T15:38:29Z,1273,53
wildfly/quickstart,main,895,1390,2013-05-18T01:34:56Z,42106,20
elastic/elasticsearch-hadoop,main,1915,996,2013-03-11T18:57:37Z,10153,100
aliyun/aliyun-openapi-java-sdk,master,1375,1150,2015-07-23T08:41:13Z,72585,12
testng-team/testng,master,1891,998,2010-06-28T23:10:17Z,32532,264
apache/mahout,trunk,2096,953,2014-05-23T07:00:07Z,68353,6
pqpo/SmartCropper,master,3905,723,2017-08-03T11:08:41Z,249116,30
opentripplanner/OpenTripPlanner,dev-2.x,1949,977,2011-07-18T16:15:38Z,183327,131
ityouknow/spring-boot-leaning,master,2106,939,2017-10-30T09:37:28Z,528,1
google/volley,master,3341,767,2017-01-24T17:39:33Z,1412,30
SpigotMC/BungeeCord,master,1462,1095,2012-10-05T01:01:56Z,4448,366
apache/cxf,main,833,1399,2014-02-19T08:00:08Z,131049,41
pedrovgs/Algorithms,master,2773,827,2014-11-09T14:32:33Z,489,29
linkedin/databus,master,3547,740,2012-12-17T17:49:17Z,51191,38
AbrahamCaiJin/CommonUtilLibrary,master,2816,815,2017-04-28T06:06:58Z,801,9
essentials/Essentials,2.x,854,1365,2011-05-19T22:15:08Z,338968,9
jboss-javassist/javassist,master,3907,704,2013-05-24T08:31:32Z,29755,223
discord-jda/JDA,master,3894,705,2015-12-12T13:57:32Z,33108,29
jfeinstein10/JazzyViewPager,master,2679,827,2013-02-01T04:57:42Z,995,43
lxy-go/SpringBoot,master,2197,901,2018-05-15T11:01:39Z,39579,11
mercyblitz/tech-weekly,master,3817,708,2018-12-03T03:10:52Z,19730,20
EngineHub/WorldEdit,master,2870,799,2010-09-28T08:11:57Z,27937,159
AxonFramework/AxonFramework,master,3119,770,2011-12-02T16:04:42Z,43553,89
mercyblitz/geekbang-lessons,master,858,1348,2019-12-06T11:29:10Z,50699,24
DataLinkDC/dinky,dev,2419,857,2021-06-09T07:11:26Z,26127,180
NiceSeason/gulimall-learning,master,1850,963,2020-05-28T02:20:33Z,250782,33
rubensousa/GravitySnapHelper,master,4972,626,2016-08-31T07:25:23Z,83050,6
doublechaintech/scm-biz-suite,master,2240,882,2018-12-17T18:07:12Z,49282,10
vector4wang/spring-boot-quick,master,2269,877,2017-03-13T12:32:30Z,5323,13
aurelhubert/ahbottomnavigation,master,3858,694,2016-03-17T12:17:56Z,5644,145
spring-projects/spring-data-mongodb,main,1542,1035,2011-10-13T01:06:55Z,34271,266
vavr-io/vavr,master,5363,601,2014-01-30T14:07:25Z,20983,83
luggit/react-native-config,master,4622,641,2016-02-23T00:19:11Z,3549,328
wix/react-native-notifications,master,3088,760,2016-04-06T13:17:44Z,11005,29
binarywang/weixin-java-mp-demo,master,1772,965,2016-10-27T07:26:17Z,3152,12
lcodecorex/TwinklingRefreshLayout,master,3994,678,2016-03-02T12:11:56Z,82617,112
spring-projects/spring-integration,main,1452,1052,2011-07-22T21:47:27Z,68161,127
apache/drill,master,1843,948,2012-09-05T07:00:26Z,70688,89
NotFound9/interviewGuide,master,3826,689,2016-04-20T07:17:09Z,62214,14
react-native-linear-gradient/react-native-linear-gradient,master,4655,632,2015-03-31T17:44:40Z,2099,146
jiayaoO3O/18-comic-finder,master,912,1281,2021-02-16T06:38:42Z,392,21
wszf/androrat,master,1787,957,2014-02-15T06:38:38Z,3254,39
huanghongxun/HMCL,javafx,5584,583,2015-06-22T08:06:03Z,25324,189
DTStack/flinkStreamSQL,1.10_release,1966,917,2018-09-12T05:51:37Z,7072,86
mymmsc/books,master,2046,900,2015-02-08T08:31:19Z,1998139,0
huaban/jieba-analysis,master,2387,842,2013-08-06T02:57:02Z,7928,84
apache/cloudstack,main,1522,1021,2013-04-29T22:27:12Z,571598,381
sofastack/sofa-bolt,master,2336,844,2018-04-09T03:29:36Z,1115,35
sanshengshui/netty-learning-example,master,2699,791,2018-09-18T05:45:24Z,2092,7
yidongnan/grpc-spring-boot-starter,master,3097,741,2016-12-30T09:06:15Z,3298,115
FongMi/TV,release,1967,899,2022-06-22T09:10:23Z,66053,0
sunfusheng/MarqueeView,master,3738,679,2016-06-01T06:50:46Z,12351,43
javamelody/javamelody,master,2865,763,2015-06-21T16:32:48Z,109291,54
yhaolpz/FloatWindow,master,4129,647,2017-11-14T14:33:55Z,1002,99
Antabot/White-Jotter,master,2280,837,2019-03-09T03:06:40Z,228727,21
x-ream/sqli,master,1909,904,2020-08-19T14:02:22Z,2591,18
go-lang-plugin-org/go-lang-idea-plugin,master,4571,616,2010-08-29T08:20:01Z,34753,416
smartloli/EFAK,main,2882,751,2017-02-04T08:52:23Z,126095,180
sherxon/AlgoDS,master,3409,699,2016-12-16T17:01:22Z,1585,21
googlemaps/google-maps-services-java,main,1635,957,2014-08-15T04:35:21Z,7193,23
guolindev/giffun,master,3429,693,2019-01-28T05:11:00Z,7432,30
MiCode/Notes,master,1905,894,2011-12-27T02:46:59Z,3490,14
joyoyao/superCleanMaster,master,1893,895,2015-02-12T03:37:41Z,12302,18
angryip/ipscan,master,3518,683,2011-06-28T20:58:48Z,117170,140
yinjihuan/spring-cloud,master,1760,922,2017-10-24T13:07:22Z,611,5
QNJR-GROUP/EasyTransaction,master,2343,814,2017-03-28T10:13:48Z,653,50
yangchong211/YCAppTool,master,3059,723,2017-09-28T07:44:04Z,186080,15
binIoter/GuideView,master,3876,651,2016-06-19T08:52:25Z,7068,27
rohitghatol/spring-boot-microservices,master,1708,928,2015-04-06T18:09:38Z,5727,12
boylegu/SpringBoot-vue,master,1940,878,2017-06-20T07:07:19Z,33570,25
apache/netbeans,master,2401,799,2017-09-01T07:00:11Z,382484,714
lsjwzh/RecyclerViewPager,master,3538,675,2015-01-17T18:30:34Z,3248,124
mercyblitz/segmentfault-lessons,master,1439,998,2017-06-02T11:01:06Z,197440,12
amirzaidi/Launcher3,o-mr1,3756,657,2017-05-30T12:53:32Z,129066,134
camunda/camunda-bpm-examples,master,968,1180,2013-04-04T15:39:07Z,22942,5
ChrisRM/material-theme-jetbrains,master,7859,474,2015-09-23T07:15:04Z,148338,0
sofastack/sofa-jarslink,master,3038,716,2018-02-02T06:02:09Z,355,19
moquette-io/moquette,main,2181,826,2014-09-30T20:14:41Z,5947,112
EssentialsX/Essentials,2.x,1714,917,2015-04-15T01:20:08Z,405195,180
scalad/Note,master,2058,846,2016-09-06T06:28:35Z,14533,5
eclipse-openj9/openj9,master,3162,698,2017-08-25T13:46:07Z,159373,2324
java-aodeng/hope-boot,master,3260,690,2018-10-17T07:50:48Z,13973,3
eclipse/paho.mqtt.java,master,1927,867,2015-12-16T19:13:48Z,6290,338
liuyubobobo/Play-with-Data-Structures,master,1990,850,2018-03-21T08:16:18Z,25624,2
apache/rocketmq-spring,master,1930,857,2018-10-15T06:07:53Z,642,71
EhsanTang/ApiManager,master,2319,790,2016-03-29T02:50:04Z,20269,43
jprante/elasticsearch-jdbc,master,2840,725,2012-06-02T23:17:56Z,7823,419
LWJGL/lwjgl3,master,4375,600,2012-12-23T15:40:04Z,92247,67
internetarchive/heritrix3,master,2554,758,2011-10-21T22:00:17Z,10895,47
NightscoutFoundation/xDrip,master,1181,1061,2016-09-23T13:33:17Z,43240,176
rubensousa/ViewPagerCards,master,4058,619,2016-08-20T15:24:12Z,105,15
caoxinyu/RedisClient,windows,2404,779,2014-05-13T09:30:23Z,297447,48
mbechler/marshalsec,master,3107,694,2017-05-22T11:43:57Z,466,3
MoRan1607/BigDataGuide,master,2259,797,2019-11-30T12:02:52Z,33953,0
habuma/spring-in-action-5-samples,main,1195,1050,2018-08-11T23:29:43Z,670,74
codedrinker/community,master,2495,761,2019-04-23T15:11:24Z,4671,21
jindrapetrik/jpexs-decompiler,master,3946,623,2014-05-10T17:20:56Z,229619,2
jayZheng87/Thusy,master,1496,948,2019-09-07T04:24:57Z,125,8
ddd-by-examples/library,master,3897,626,2019-01-11T09:14:03Z,48023,17
openjfx/samples,master,534,1483,2018-11-02T10:44:22Z,526,30
happyfish100/fastdfs-client-java,master,1571,932,2014-12-07T03:19:50Z,232,79
zmxv/react-native-sound,master,2701,735,2015-10-19T06:22:23Z,373,335
algorithmzuo/algorithmbasic2020,master,1238,1027,2020-04-28T10:02:35Z,632,0
soot-oss/soot,develop,2650,741,2012-06-20T12:41:19Z,495458,397
microsoft/malmo,master,3939,619,2016-05-17T14:58:40Z,28835,161
shyiko/mysql-binlog-connector-java,master,2119,813,2013-07-11T15:05:22Z,1405,101
ngbdf/redis-manager,master,2887,708,2018-05-18T06:43:09Z,119017,64
MiguelCatalan/MaterialSearchView,develop,3822,628,2015-09-14T17:13:46Z,4665,167
puniverse/quasar,master,4530,580,2013-03-27T14:51:24Z,80585,98
wkeyuan/DWSurvey,master,2340,729,2017-06-11T06:54:35Z,99806,50
nanchen2251/RxJava2Examples,master,2851,671,2017-06-19T05:38:45Z,9598,5
kanwangzjm/funiture,master,1859,805,2016-03-06T11:54:46Z,32275,20
jenkinsci/configuration-as-code-plugin,master,2585,697,2017-10-20T12:43:10Z,5836,97
FasterXML/jackson-core,2.16,2183,748,2011-12-23T02:00:51Z,24125,51
prometheus/client_java,main,2057,767,2013-02-03T22:55:49Z,12622,89
mercyblitz/thinking-in-spring-boot-samples,master,1886,794,2018-11-22T13:34:21Z,350,21
mplushnikov/lombok-intellij-plugin,master,3104,638,2013-10-09T21:49:01Z,27598,179
xuxueli/xxl-sso,master,1852,797,2018-03-22T14:28:04Z,1923,35
pingfangushi/screw,master,3328,615,2020-06-21T11:37:06Z,2092,54
welk1n/JNDI-Injection-Exploit,master,2331,716,2019-10-10T01:53:49Z,364,8
amulyakhare/TextDrawable,master,3166,625,2014-10-19T09:56:45Z,1148,59
apache/httpcomponents-client,master,1358,902,2009-05-21T01:43:06Z,18405,5
aws/aws-sdk-java-v2,master,1899,779,2017-06-23T18:56:01Z,332029,323
tyrantgit/ExplosionField,master,3596,589,2015-09-23T11:34:50Z,1570,24
sunfusheng/StickyHeaderListView,master,2812,655,2016-04-22T11:39:25Z,9694,8
geekidea/spring-boot-plus,master,2367,701,2019-06-20T08:06:08Z,7684,38
dromara/dynamic-tp,master,2882,643,2022-01-07T16:35:27Z,15013,31
Snoopy1866/LiTiaotiao-Custom-Rules,main,5798,474,2023-06-12T12:58:52Z,76234,12
apache/atlas,master,1651,817,2017-07-22T07:00:08Z,65437,75
PlexPt/chatgpt-java,main,2971,633,2022-12-07T04:55:33Z,314,34
ZHENFENG13/ssm-demo,master,1774,790,2017-02-23T08:13:00Z,33983,18
gaopu/Java,master,1501,848,2014-11-18T11:25:02Z,592,24
tonikelope/megabasterd,master,3714,572,2016-09-29T16:54:54Z,162393,161
Java-aid/Hackerrank-Solutions,master,1589,826,2017-11-30T09:55:41Z,740,30
reactive-streams/reactive-streams-jvm,master,4688,515,2014-02-28T13:16:15Z,1846,27
apache/tinkerpop,master,1826,774,2015-02-07T08:00:05Z,209568,27
beefe/react-native-picker,master,1738,790,2015-12-13T18:11:28Z,824,209
andkulikov/Transitions-Everywhere,master,4841,504,2014-10-15T03:37:03Z,1247,7
vipshop/Saturn,develop,2252,702,2016-11-30T08:06:30Z,32300,276
conduktor/kafka-beginners-course,main,874,1059,2018-08-27T13:35:44Z,281,3
apache/phoenix,master,997,995,2014-06-04T07:00:08Z,76480,108
spring-cloud/spring-cloud-sleuth,3.1.x,1728,780,2015-03-06T20:51:47Z,89709,36
cloudfoundry/uaa,develop,1514,825,2012-02-07T22:40:55Z,66224,38
xianrendzw/EasyReport,master,1670,785,2014-09-22T07:07:13Z,36262,54
hongyangAndroid/Highlight,master,3132,596,2015-10-08T15:03:40Z,2985,63
alldatacenter/alldata,master,1956,731,2019-10-07T07:36:18Z,1616436,16
fesh0r/fernflower,master,3048,600,2014-10-03T05:00:15Z,6065,1
apache/geode,develop,2244,684,2015-04-30T07:00:05Z,224880,22
datastax/java-driver,4.x,1309,864,2012-11-19T18:44:41Z,42450,24
vaadin/framework,master,1759,759,2012-10-19T10:41:30Z,487489,415
zaaach/CityPicker,master,3095,592,2016-02-27T09:11:27Z,14120,45
pac4j/pac4j,master,2319,672,2012-01-28T17:04:12Z,67020,0
linkedin/dr-elephant,master,1325,856,2016-03-02T17:51:13Z,11329,169
gitblit-org/gitblit,master,2189,688,2011-06-22T19:54:49Z,23465,238
qiujiayu/AutoLoadCache,master,2072,703,2015-02-27T06:18:19Z,2247,6
alibaba/jvm-sandbox-repeater,master,2282,674,2019-07-03T08:12:04Z,4577,93
zzz40500/GsonFormat,master,3169,584,2014-10-31T14:16:39Z,4212,63
dkim0419/SoundRecorder,master,1473,813,2014-12-24T23:43:30Z,4955,80
LuckyJayce/ViewPagerIndicator,master,2587,636,2014-10-11T15:28:43Z,36270,46
lyrric/seckill,master,2059,699,2020-07-23T06:09:06Z,269,154
loda-kun/spring-boot-learning,master,1327,844,2019-04-28T06:07:26Z,1070,10
MiCode/FileExplorer,master,1588,779,2012-01-09T06:39:21Z,851,26
mitreid-connect/OpenID-Connect-Java-Spring-Server,master,1447,810,2011-10-31T16:39:24Z,15301,262
reactor/lite-rx-api-hands-on,master,1014,945,2016-02-01T14:51:03Z,419,3
springframeworkguru/springbootwebapp,master,498,1286,2015-06-11T14:27:02Z,1117,16
Grt1228/chatgpt-java,develop,2414,647,2023-02-11T08:54:54Z,346,20
tchiotludo/akhq,dev,3020,587,2018-09-09T19:35:39Z,24147,142
jimmysuncpt/Algorithms,master,2158,678,2016-10-19T08:23:45Z,42344,10
exchange-core/exchange-core,master,1828,728,2018-08-05T18:25:16Z,1612,57
eishay/jvm-serializers,master,3241,567,2010-04-25T03:12:00Z,206889,7
apache/tika,main,1885,716,2009-05-21T02:12:11Z,240936,50
jsquared21/Intro-to-Java-Programming,master,1135,892,2015-05-31T23:05:33Z,9292,52
rbmonster/learning-note,master,2796,603,2020-06-15T16:47:25Z,67620,0
sublimehq/Packages,master,2915,592,2015-06-13T04:17:44Z,14137,225
open-telemetry/opentelemetry-java,main,1660,756,2019-02-26T16:43:36Z,19767,145
unclebob/fitnesse,master,1947,703,2008-12-06T19:38:59Z,74251,103
seaswalker/jdk-sourcecode-analysis,master,1875,715,2016-11-02T02:16:09Z,2178,11
crate/crate,master,3772,526,2013-04-10T09:17:16Z,141999,263
alibaba/mdrill,master,1539,776,2013-07-23T06:10:53Z,140365,42
FabricMC/fabric-example-mod,1.20,1326,827,2018-11-03T20:32:07Z,499,10
dropbox/hackpad,master,3521,542,2015-08-14T02:32:17Z,110132,43
assertj/assertj,main,2423,638,2013-03-14T16:18:49Z,43512,240
itmuch/spring-cloud-docker-microservice-book-code,master,1157,874,2017-01-23T02:44:10Z,1330,5
helidon-io/helidon,helidon-3.x,3185,563,2018-08-27T11:03:52Z,77703,494
LaiFeng-Android/SopCastComponent,master,2479,625,2016-12-06T06:43:32Z,430,31
saulmm/CoordinatorBehaviorExample,master,2719,599,2015-08-16T04:14:38Z,42018,27
Kong/unirest-java,main,2487,621,2011-04-11T21:19:53Z,3364,7
dromara/raincat,master,1910,695,2017-09-01T08:06:20Z,1997,32
saulmm/Material-Movies,master,2440,624,2015-01-31T09:52:23Z,1629,17
spotbugs/spotbugs,master,3169,557,2016-11-04T22:18:08Z,163353,447
winder/Universal-G-Code-Sender,master,1683,732,2012-06-26T22:30:07Z,67964,181
phodal/migration,master,3269,547,2020-01-08T02:11:38Z,6167,0
s4kibs4mi/java-developer-roadmap,master,3455,534,2019-04-23T06:42:13Z,3304,3
resteasy/resteasy,main,1058,890,2011-12-09T15:15:43Z,72402,66
primefaces/primefaces,master,1666,729,2015-04-11T09:48:53Z,124844,121
yzcheng90/X-SpringBoot,master,1883,691,2018-01-05T08:39:00Z,4023,2
